User Query,Rewritten Query
cheap phones under 20k,"SELECT * FROM products WHERE category = ""smartwatches"" AND release_year = 2024"
latest smartwatches for 2024,"SELECT * FROM products WHERE category = ""smartwatches"" AND release_year = 2024"
buy red shoes,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
wireless headphones deals,"SELECT * FROM products WHERE color = ""red"" AND category = ""shoes"""
best laptops for students,"SELECT * FROM products WHERE category = ""laptops"" AND target_audience = ""students"""
buy red shoes,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
cheap phones under 20k,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
wireless headphones deals,"SELECT * FROM products WHERE category = ""smartwatches"" AND release_year = 2024"
buy red shoes,"SELECT * FROM products WHERE color = ""red"" AND category = ""shoes"""
best laptops for students,"SELECT * FROM products WHERE category = ""laptops"" AND target_audience = ""students"""
wireless headphones deals,"SELECT * FROM products WHERE category = ""laptops"" AND target_audience = ""students"""
latest smartwatches for 2024,"SELECT * FROM products WHERE color = ""red"" AND category = ""shoes"""
buy red shoes,"SELECT * FROM products WHERE category = ""headphones"" AND discount > 20"
best laptops for students,"SELECT * FROM products WHERE category = ""headphones"" AND discount > 20"
cheap phones under 20k,"SELECT * FROM products WHERE color = ""red"" AND category = ""shoes"""
cheap phones under 20k,"SELECT * FROM products WHERE category = ""smartwatches"" AND release_year = 2024"
best laptops for students,"SELECT * FROM products WHERE category = ""smartwatches"" AND release_year = 2024"
wireless headphones deals,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
buy red shoes,"SELECT * FROM products WHERE category = ""smartwatches"" AND release_year = 2024"
wireless headphones deals,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
latest smartwatches for 2024,"SELECT * FROM products WHERE category = ""headphones"" AND discount > 20"
wireless headphones deals,"SELECT * FROM products WHERE category = ""laptops"" AND target_audience = ""students"""
latest smartwatches for 2024,"SELECT * FROM products WHERE category = ""headphones"" AND discount > 20"
buy red shoes,"SELECT * FROM products WHERE color = ""red"" AND category = ""shoes"""
wireless headphones deals,"SELECT * FROM products WHERE color = ""red"" AND category = ""shoes"""
buy red shoes,"SELECT * FROM products WHERE color = ""red"" AND category = ""shoes"""
best laptops for students,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
wireless headphones deals,"SELECT * FROM products WHERE category = ""smartwatches"" AND release_year = 2024"
wireless headphones deals,"SELECT * FROM products WHERE color = ""red"" AND category = ""shoes"""
buy red shoes,"SELECT * FROM products WHERE category = ""smartwatches"" AND release_year = 2024"
cheap phones under 20k,"SELECT * FROM products WHERE color = ""red"" AND category = ""shoes"""
cheap phones under 20k,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
cheap phones under 20k,"SELECT * FROM products WHERE category = ""headphones"" AND discount > 20"
best laptops for students,"SELECT * FROM products WHERE color = ""red"" AND category = ""shoes"""
latest smartwatches for 2024,"SELECT * FROM products WHERE category = ""laptops"" AND target_audience = ""students"""
buy red shoes,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
best laptops for students,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
wireless headphones deals,"SELECT * FROM products WHERE color = ""red"" AND category = ""shoes"""
wireless headphones deals,"SELECT * FROM products WHERE color = ""red"" AND category = ""shoes"""
latest smartwatches for 2024,"SELECT * FROM products WHERE category = ""smartwatches"" AND release_year = 2024"
best laptops for students,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
buy red shoes,"SELECT * FROM products WHERE category = ""smartwatches"" AND release_year = 2024"
cheap phones under 20k,"SELECT * FROM products WHERE color = ""red"" AND category = ""shoes"""
buy red shoes,"SELECT * FROM products WHERE category = ""laptops"" AND target_audience = ""students"""
wireless headphones deals,"SELECT * FROM products WHERE category = ""smartwatches"" AND release_year = 2024"
cheap phones under 20k,"SELECT * FROM products WHERE category = ""smartwatches"" AND release_year = 2024"
best laptops for students,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
latest smartwatches for 2024,"SELECT * FROM products WHERE category = ""smartwatches"" AND release_year = 2024"
wireless headphones deals,"SELECT * FROM products WHERE category = ""smartwatches"" AND release_year = 2024"
wireless headphones deals,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
best laptops for students,"SELECT * FROM products WHERE color = ""red"" AND category = ""shoes"""
wireless headphones deals,"SELECT * FROM products WHERE category = ""smartwatches"" AND release_year = 2024"
best laptops for students,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
buy red shoes,"SELECT * FROM products WHERE category = ""smartwatches"" AND release_year = 2024"
latest smartwatches for 2024,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
wireless headphones deals,"SELECT * FROM products WHERE category = ""laptops"" AND target_audience = ""students"""
latest smartwatches for 2024,"SELECT * FROM products WHERE color = ""red"" AND category = ""shoes"""
buy red shoes,"SELECT * FROM products WHERE category = ""laptops"" AND target_audience = ""students"""
buy red shoes,"SELECT * FROM products WHERE category = ""headphones"" AND discount > 20"
buy red shoes,"SELECT * FROM products WHERE category = ""laptops"" AND target_audience = ""students"""
best laptops for students,"SELECT * FROM products WHERE category = ""headphones"" AND discount > 20"
cheap phones under 20k,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
best laptops for students,"SELECT * FROM products WHERE color = ""red"" AND category = ""shoes"""
buy red shoes,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
cheap phones under 20k,"SELECT * FROM products WHERE category = ""laptops"" AND target_audience = ""students"""
best laptops for students,"SELECT * FROM products WHERE color = ""red"" AND category = ""shoes"""
best laptops for students,"SELECT * FROM products WHERE color = ""red"" AND category = ""shoes"""
buy red shoes,"SELECT * FROM products WHERE color = ""red"" AND category = ""shoes"""
cheap phones under 20k,"SELECT * FROM products WHERE category = ""smartwatches"" AND release_year = 2024"
wireless headphones deals,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
buy red shoes,"SELECT * FROM products WHERE category = ""laptops"" AND target_audience = ""students"""
cheap phones under 20k,"SELECT * FROM products WHERE category = ""smartwatches"" AND release_year = 2024"
latest smartwatches for 2024,"SELECT * FROM products WHERE category = ""headphones"" AND discount > 20"
buy red shoes,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
wireless headphones deals,"SELECT * FROM products WHERE category = ""smartwatches"" AND release_year = 2024"
best laptops for students,"SELECT * FROM products WHERE color = ""red"" AND category = ""shoes"""
latest smartwatches for 2024,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
best laptops for students,"SELECT * FROM products WHERE color = ""red"" AND category = ""shoes"""
wireless headphones deals,"SELECT * FROM products WHERE color = ""red"" AND category = ""shoes"""
cheap phones under 20k,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
buy red shoes,"SELECT * FROM products WHERE color = ""red"" AND category = ""shoes"""
buy red shoes,"SELECT * FROM products WHERE category = ""smartwatches"" AND release_year = 2024"
cheap phones under 20k,"SELECT * FROM products WHERE color = ""red"" AND category = ""shoes"""
best laptops for students,"SELECT * FROM products WHERE category = ""smartwatches"" AND release_year = 2024"
latest smartwatches for 2024,"SELECT * FROM products WHERE category = ""laptops"" AND target_audience = ""students"""
wireless headphones deals,"SELECT * FROM products WHERE category = ""headphones"" AND discount > 20"
buy red shoes,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
wireless headphones deals,"SELECT * FROM products WHERE color = ""red"" AND category = ""shoes"""
buy red shoes,"SELECT * FROM products WHERE category = ""headphones"" AND discount > 20"
best laptops for students,"SELECT * FROM products WHERE color = ""red"" AND category = ""shoes"""
buy red shoes,"SELECT * FROM products WHERE category = ""laptops"" AND target_audience = ""students"""
wireless headphones deals,"SELECT * FROM products WHERE category = ""smartwatches"" AND release_year = 2024"
wireless headphones deals,"SELECT * FROM products WHERE category = ""laptops"" AND target_audience = ""students"""
latest smartwatches for 2024,"SELECT * FROM products WHERE category = ""headphones"" AND discount > 20"
cheap phones under 20k,"SELECT * FROM products WHERE category = ""laptops"" AND target_audience = ""students"""
best laptops for students,"SELECT * FROM products WHERE category = ""smartwatches"" AND release_year = 2024"
latest smartwatches for 2024,"SELECT * FROM products WHERE category = ""headphones"" AND discount > 20"
wireless headphones deals,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
latest smartwatches for 2024,"SELECT * FROM products WHERE category = ""headphones"" AND discount > 20"
best laptops for students,"SELECT * FROM products WHERE category = ""laptops"" AND target_audience = ""students"""
buy red shoes,"SELECT * FROM products WHERE category = ""smartwatches"" AND release_year = 2024"
wireless headphones deals,"SELECT * FROM products WHERE category = ""headphones"" AND discount > 20"
best laptops for students,"SELECT * FROM products WHERE color = ""red"" AND category = ""shoes"""
wireless headphones deals,"SELECT * FROM products WHERE color = ""red"" AND category = ""shoes"""
best laptops for students,"SELECT * FROM products WHERE category = ""laptops"" AND target_audience = ""students"""
buy red shoes,"SELECT * FROM products WHERE category = ""smartwatches"" AND release_year = 2024"
latest smartwatches for 2024,"SELECT * FROM products WHERE category = ""smartwatches"" AND release_year = 2024"
buy red shoes,"SELECT * FROM products WHERE category = ""smartwatches"" AND release_year = 2024"
best laptops for students,"SELECT * FROM products WHERE category = ""smartwatches"" AND release_year = 2024"
latest smartwatches for 2024,"SELECT * FROM products WHERE category = ""headphones"" AND discount > 20"
buy red shoes,"SELECT * FROM products WHERE color = ""red"" AND category = ""shoes"""
best laptops for students,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
best laptops for students,"SELECT * FROM products WHERE category = ""headphones"" AND discount > 20"
buy red shoes,"SELECT * FROM products WHERE category = ""laptops"" AND target_audience = ""students"""
cheap phones under 20k,"SELECT * FROM products WHERE category = ""headphones"" AND discount > 20"
best laptops for students,"SELECT * FROM products WHERE category = ""headphones"" AND discount > 20"
cheap phones under 20k,"SELECT * FROM products WHERE color = ""red"" AND category = ""shoes"""
buy red shoes,"SELECT * FROM products WHERE category = ""laptops"" AND target_audience = ""students"""
latest smartwatches for 2024,"SELECT * FROM products WHERE category = ""smartwatches"" AND release_year = 2024"
best laptops for students,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
buy red shoes,"SELECT * FROM products WHERE category = ""smartwatches"" AND release_year = 2024"
buy red shoes,"SELECT * FROM products WHERE color = ""red"" AND category = ""shoes"""
wireless headphones deals,"SELECT * FROM products WHERE category = ""headphones"" AND discount > 20"
best laptops for students,"SELECT * FROM products WHERE category = ""smartwatches"" AND release_year = 2024"
best laptops for students,"SELECT * FROM products WHERE category = ""laptops"" AND target_audience = ""students"""
buy red shoes,"SELECT * FROM products WHERE category = ""smartwatches"" AND release_year = 2024"
cheap phones under 20k,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
buy red shoes,"SELECT * FROM products WHERE category = ""smartwatches"" AND release_year = 2024"
wireless headphones deals,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
wireless headphones deals,"SELECT * FROM products WHERE category = ""laptops"" AND target_audience = ""students"""
buy red shoes,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
buy red shoes,"SELECT * FROM products WHERE category = ""smartwatches"" AND release_year = 2024"
wireless headphones deals,"SELECT * FROM products WHERE category = ""smartwatches"" AND release_year = 2024"
cheap phones under 20k,"SELECT * FROM products WHERE color = ""red"" AND category = ""shoes"""
latest smartwatches for 2024,"SELECT * FROM products WHERE color = ""red"" AND category = ""shoes"""
best laptops for students,"SELECT * FROM products WHERE category = ""smartwatches"" AND release_year = 2024"
wireless headphones deals,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
wireless headphones deals,"SELECT * FROM products WHERE category = ""smartwatches"" AND release_year = 2024"
latest smartwatches for 2024,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
latest smartwatches for 2024,"SELECT * FROM products WHERE category = ""smartwatches"" AND release_year = 2024"
latest smartwatches for 2024,"SELECT * FROM products WHERE color = ""red"" AND category = ""shoes"""
best laptops for students,"SELECT * FROM products WHERE category = ""headphones"" AND discount > 20"
cheap phones under 20k,"SELECT * FROM products WHERE category = ""headphones"" AND discount > 20"
cheap phones under 20k,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
cheap phones under 20k,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
best laptops for students,"SELECT * FROM products WHERE category = ""smartwatches"" AND release_year = 2024"
cheap phones under 20k,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
cheap phones under 20k,"SELECT * FROM products WHERE color = ""red"" AND category = ""shoes"""
latest smartwatches for 2024,"SELECT * FROM products WHERE color = ""red"" AND category = ""shoes"""
wireless headphones deals,"SELECT * FROM products WHERE category = ""headphones"" AND discount > 20"
latest smartwatches for 2024,"SELECT * FROM products WHERE color = ""red"" AND category = ""shoes"""
cheap phones under 20k,"SELECT * FROM products WHERE color = ""red"" AND category = ""shoes"""
wireless headphones deals,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
cheap phones under 20k,"SELECT * FROM products WHERE category = ""headphones"" AND discount > 20"
cheap phones under 20k,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
best laptops for students,"SELECT * FROM products WHERE category = ""smartwatches"" AND release_year = 2024"
cheap phones under 20k,"SELECT * FROM products WHERE color = ""red"" AND category = ""shoes"""
wireless headphones deals,"SELECT * FROM products WHERE color = ""red"" AND category = ""shoes"""
cheap phones under 20k,"SELECT * FROM products WHERE color = ""red"" AND category = ""shoes"""
cheap phones under 20k,"SELECT * FROM products WHERE category = ""headphones"" AND discount > 20"
best laptops for students,"SELECT * FROM products WHERE category = ""headphones"" AND discount > 20"
wireless headphones deals,"SELECT * FROM products WHERE color = ""red"" AND category = ""shoes"""
buy red shoes,"SELECT * FROM products WHERE category = ""laptops"" AND target_audience = ""students"""
buy red shoes,"SELECT * FROM products WHERE color = ""red"" AND category = ""shoes"""
latest smartwatches for 2024,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
cheap phones under 20k,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
wireless headphones deals,"SELECT * FROM products WHERE category = ""smartwatches"" AND release_year = 2024"
latest smartwatches for 2024,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
best laptops for students,"SELECT * FROM products WHERE category = ""headphones"" AND discount > 20"
best laptops for students,"SELECT * FROM products WHERE category = ""headphones"" AND discount > 20"
latest smartwatches for 2024,"SELECT * FROM products WHERE category = ""headphones"" AND discount > 20"
best laptops for students,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
buy red shoes,"SELECT * FROM products WHERE category = ""headphones"" AND discount > 20"
buy red shoes,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
best laptops for students,"SELECT * FROM products WHERE color = ""red"" AND category = ""shoes"""
latest smartwatches for 2024,"SELECT * FROM products WHERE category = ""laptops"" AND target_audience = ""students"""
best laptops for students,"SELECT * FROM products WHERE category = ""smartwatches"" AND release_year = 2024"
cheap phones under 20k,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
latest smartwatches for 2024,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
buy red shoes,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
buy red shoes,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
latest smartwatches for 2024,"SELECT * FROM products WHERE category = ""laptops"" AND target_audience = ""students"""
wireless headphones deals,"SELECT * FROM products WHERE category = ""smartwatches"" AND release_year = 2024"
wireless headphones deals,"SELECT * FROM products WHERE category = ""laptops"" AND target_audience = ""students"""
buy red shoes,"SELECT * FROM products WHERE color = ""red"" AND category = ""shoes"""
wireless headphones deals,"SELECT * FROM products WHERE color = ""red"" AND category = ""shoes"""
buy red shoes,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
best laptops for students,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
cheap phones under 20k,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
cheap phones under 20k,"SELECT * FROM products WHERE color = ""red"" AND category = ""shoes"""
best laptops for students,"SELECT * FROM products WHERE category = ""laptops"" AND target_audience = ""students"""
best laptops for students,"SELECT * FROM products WHERE color = ""red"" AND category = ""shoes"""
wireless headphones deals,"SELECT * FROM products WHERE category = ""headphones"" AND discount > 20"
wireless headphones deals,"SELECT * FROM products WHERE category = ""headphones"" AND discount > 20"
wireless headphones deals,"SELECT * FROM products WHERE category = ""smartwatches"" AND release_year = 2024"
latest smartwatches for 2024,"SELECT * FROM products WHERE category = ""laptops"" AND target_audience = ""students"""
buy red shoes,"SELECT * FROM products WHERE category = ""headphones"" AND discount > 20"
cheap phones under 20k,"SELECT * FROM products WHERE category = ""headphones"" AND discount > 20"
buy red shoes,"SELECT * FROM products WHERE category = ""headphones"" AND discount > 20"
latest smartwatches for 2024,"SELECT * FROM products WHERE category = ""laptops"" AND target_audience = ""students"""
cheap phones under 20k,"SELECT * FROM products WHERE color = ""red"" AND category = ""shoes"""
best laptops for students,"SELECT * FROM products WHERE category = ""laptops"" AND target_audience = ""students"""
cheap phones under 20k,"SELECT * FROM products WHERE category = ""laptops"" AND target_audience = ""students"""
cheap phones under 20k,"SELECT * FROM products WHERE category = ""headphones"" AND discount > 20"
cheap phones under 20k,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
wireless headphones deals,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
latest smartwatches for 2024,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
buy red shoes,"SELECT * FROM products WHERE color = ""red"" AND category = ""shoes"""
best laptops for students,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
best laptops for students,"SELECT * FROM products WHERE category = ""headphones"" AND discount > 20"
latest smartwatches for 2024,"SELECT * FROM products WHERE category = ""laptops"" AND target_audience = ""students"""
latest smartwatches for 2024,"SELECT * FROM products WHERE category = ""laptops"" AND target_audience = ""students"""
buy red shoes,"SELECT * FROM products WHERE color = ""red"" AND category = ""shoes"""
wireless headphones deals,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
cheap phones under 20k,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
buy red shoes,"SELECT * FROM products WHERE category = ""smartwatches"" AND release_year = 2024"
cheap phones under 20k,"SELECT * FROM products WHERE category = ""smartwatches"" AND release_year = 2024"
buy red shoes,"SELECT * FROM products WHERE category = ""laptops"" AND target_audience = ""students"""
latest smartwatches for 2024,"SELECT * FROM products WHERE category = ""laptops"" AND target_audience = ""students"""
wireless headphones deals,"SELECT * FROM products WHERE category = ""smartwatches"" AND release_year = 2024"
buy red shoes,"SELECT * FROM products WHERE category = ""smartwatches"" AND release_year = 2024"
buy red shoes,"SELECT * FROM products WHERE category = ""laptops"" AND target_audience = ""students"""
wireless headphones deals,"SELECT * FROM products WHERE category = ""laptops"" AND target_audience = ""students"""
wireless headphones deals,"SELECT * FROM products WHERE category = ""smartwatches"" AND release_year = 2024"
latest smartwatches for 2024,"SELECT * FROM products WHERE category = ""laptops"" AND target_audience = ""students"""
latest smartwatches for 2024,"SELECT * FROM products WHERE category = ""smartwatches"" AND release_year = 2024"
buy red shoes,"SELECT * FROM products WHERE category = ""laptops"" AND target_audience = ""students"""
cheap phones under 20k,"SELECT * FROM products WHERE color = ""red"" AND category = ""shoes"""
latest smartwatches for 2024,"SELECT * FROM products WHERE color = ""red"" AND category = ""shoes"""
wireless headphones deals,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
cheap phones under 20k,"SELECT * FROM products WHERE color = ""red"" AND category = ""shoes"""
best laptops for students,"SELECT * FROM products WHERE category = ""smartwatches"" AND release_year = 2024"
cheap phones under 20k,"SELECT * FROM products WHERE category = ""smartwatches"" AND release_year = 2024"
latest smartwatches for 2024,"SELECT * FROM products WHERE category = ""headphones"" AND discount > 20"
wireless headphones deals,"SELECT * FROM products WHERE category = ""laptops"" AND target_audience = ""students"""
wireless headphones deals,"SELECT * FROM products WHERE category = ""smartwatches"" AND release_year = 2024"
cheap phones under 20k,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
wireless headphones deals,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
cheap phones under 20k,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
wireless headphones deals,"SELECT * FROM products WHERE category = ""smartwatches"" AND release_year = 2024"
cheap phones under 20k,"SELECT * FROM products WHERE category = ""headphones"" AND discount > 20"
cheap phones under 20k,"SELECT * FROM products WHERE category = ""laptops"" AND target_audience = ""students"""
buy red shoes,"SELECT * FROM products WHERE category = ""smartwatches"" AND release_year = 2024"
latest smartwatches for 2024,"SELECT * FROM products WHERE category = ""laptops"" AND target_audience = ""students"""
buy red shoes,"SELECT * FROM products WHERE category = ""headphones"" AND discount > 20"
cheap phones under 20k,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
cheap phones under 20k,"SELECT * FROM products WHERE category = ""smartwatches"" AND release_year = 2024"
cheap phones under 20k,"SELECT * FROM products WHERE category = ""laptops"" AND target_audience = ""students"""
latest smartwatches for 2024,"SELECT * FROM products WHERE category = ""laptops"" AND target_audience = ""students"""
buy red shoes,"SELECT * FROM products WHERE category = ""laptops"" AND target_audience = ""students"""
buy red shoes,"SELECT * FROM products WHERE category = ""headphones"" AND discount > 20"
wireless headphones deals,"SELECT * FROM products WHERE category = ""laptops"" AND target_audience = ""students"""
cheap phones under 20k,"SELECT * FROM products WHERE color = ""red"" AND category = ""shoes"""
wireless headphones deals,"SELECT * FROM products WHERE color = ""red"" AND category = ""shoes"""
buy red shoes,"SELECT * FROM products WHERE category = ""laptops"" AND target_audience = ""students"""
best laptops for students,"SELECT * FROM products WHERE category = ""laptops"" AND target_audience = ""students"""
latest smartwatches for 2024,"SELECT * FROM products WHERE category = ""laptops"" AND target_audience = ""students"""
best laptops for students,"SELECT * FROM products WHERE category = ""smartwatches"" AND release_year = 2024"
buy red shoes,"SELECT * FROM products WHERE color = ""red"" AND category = ""shoes"""
best laptops for students,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
latest smartwatches for 2024,"SELECT * FROM products WHERE category = ""laptops"" AND target_audience = ""students"""
best laptops for students,"SELECT * FROM products WHERE category = ""laptops"" AND target_audience = ""students"""
cheap phones under 20k,"SELECT * FROM products WHERE category = ""headphones"" AND discount > 20"
wireless headphones deals,"SELECT * FROM products WHERE color = ""red"" AND category = ""shoes"""
buy red shoes,"SELECT * FROM products WHERE category = ""headphones"" AND discount > 20"
wireless headphones deals,"SELECT * FROM products WHERE category = ""smartwatches"" AND release_year = 2024"
best laptops for students,"SELECT * FROM products WHERE category = ""smartwatches"" AND release_year = 2024"
cheap phones under 20k,"SELECT * FROM products WHERE category = ""smartwatches"" AND release_year = 2024"
cheap phones under 20k,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
best laptops for students,"SELECT * FROM products WHERE color = ""red"" AND category = ""shoes"""
wireless headphones deals,"SELECT * FROM products WHERE category = ""headphones"" AND discount > 20"
best laptops for students,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
best laptops for students,"SELECT * FROM products WHERE category = ""headphones"" AND discount > 20"
wireless headphones deals,"SELECT * FROM products WHERE color = ""red"" AND category = ""shoes"""
best laptops for students,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
wireless headphones deals,"SELECT * FROM products WHERE category = ""headphones"" AND discount > 20"
latest smartwatches for 2024,"SELECT * FROM products WHERE color = ""red"" AND category = ""shoes"""
cheap phones under 20k,"SELECT * FROM products WHERE category = ""headphones"" AND discount > 20"
latest smartwatches for 2024,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
wireless headphones deals,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
wireless headphones deals,"SELECT * FROM products WHERE category = ""headphones"" AND discount > 20"
latest smartwatches for 2024,"SELECT * FROM products WHERE category = ""headphones"" AND discount > 20"
cheap phones under 20k,"SELECT * FROM products WHERE category = ""headphones"" AND discount > 20"
cheap phones under 20k,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
cheap phones under 20k,"SELECT * FROM products WHERE category = ""smartwatches"" AND release_year = 2024"
buy red shoes,"SELECT * FROM products WHERE category = ""headphones"" AND discount > 20"
buy red shoes,"SELECT * FROM products WHERE category = ""laptops"" AND target_audience = ""students"""
best laptops for students,"SELECT * FROM products WHERE color = ""red"" AND category = ""shoes"""
cheap phones under 20k,"SELECT * FROM products WHERE category = ""laptops"" AND target_audience = ""students"""
cheap phones under 20k,"SELECT * FROM products WHERE category = ""headphones"" AND discount > 20"
latest smartwatches for 2024,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
best laptops for students,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
buy red shoes,"SELECT * FROM products WHERE category = ""laptops"" AND target_audience = ""students"""
buy red shoes,"SELECT * FROM products WHERE category = ""smartwatches"" AND release_year = 2024"
wireless headphones deals,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
best laptops for students,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
buy red shoes,"SELECT * FROM products WHERE color = ""red"" AND category = ""shoes"""
latest smartwatches for 2024,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
buy red shoes,"SELECT * FROM products WHERE category = ""smartwatches"" AND release_year = 2024"
buy red shoes,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
cheap phones under 20k,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
buy red shoes,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
best laptops for students,"SELECT * FROM products WHERE price < 20000 AND category = ""phones"""
